text,label
Marshfield holds off Billerica Billerica's furious comeback attempt fell short as Jerry Freed intercepted three passes to lead Marshfield to a 27-15 win last night.,Sport
Darfur peace talks set to restart Negotiations between the Sudanese government and rebel groups in the troubled Darfur region are to resume.,Politics
"Alison Williamson takes bronze to hit her Olympic target after 12 years Inspired by the magnificent surroundings of the Panathinaiko stadium and assisted by a gust of wind and a police siren, the British archer Alison Williamson ended her 12-year quest for an Olympic medal at the fourth attempt when she won bronze in the ...",Sport
"Frances Strikes, Knocks Out Power to 4M STUART, Fla. - Hurricane Frances weakened but still pounded Florida with high wind and heavy rain Sunday after it smashed across the state's east coast, knocking out power to 4 million people, shredding roofs and uprooting trees...",Politics
"World record in sights of 100-meter field  quot;We #39;re going to have a party, quot; Maurice Greene said Saturday, looking forward to Sunday #39;s final in the Olympic men #39;s 100-meter dash.",Sport
"Thousands congratulate Lahoud BEIRUT: Tens of thousands of people flocked to Baabda Presidential Palace Sunday, in a huge and popular show of support for President Emile Lahoud over his three-year mandate extension that was decided by Parliament on Friday.",Politics
"Warren the do-it-yourself type Defensive end Ty Warren , who played behind veteran Bobby Hamilton as a rookie last year and had 33 tackles, has eclipsed that total with 48 stops this season in 12 starts. Throw in a pass deflection, a couple of forced fumbles, and 4 1/2 sacks, and it's been a promising turnaround for the 13th overall pick in ...",Sport
Indonesia says tourism unaffected by Australian embassy bomb blast &lt;b&gt;...&lt;/b&gt; The Indonesian tourism industry has so far not been affected by last week #39;s bombing outside the Australian embassy in Jakarta and officials said they do not expect a significant drop in visitor numbers as a result of the attack.,Politics
Trojans Open Up No. 1 Defending national champion USC begins the 2004 season right where it left off the year before - as the top ranked team in the AP Top 25 poll.,Sport
Carolina WR Smith Breaks Left Fibula (Reuters) Reuters - Carolina wide\receiver Steve Smith was carted off the field Monday night\after breaking his left fibula during the Panthers' 24-14 loss\to Green Bay.,Sport
"Beijing Accused of Meddling in HK Elections (Reuters) Reuters - Hong Kong media and a rights group\accused Beijing on Thursday of meddling in a weekend election,\saying its publicity about a pro-democracy candidate jailed for\hiring a prostitute was timed to influence the result.",Politics
"Vote Audit Confirms Chavez Recall Win Fair-Official  CARACAS, Venezuela (Reuters) - An audit done by  international observers has confirmed that President Hugo  Chavez beat a recall referendum and that the vote was fair, an  electoral council official said on Saturday.",Politics
"Whistling Straits Proves It's Major League Whistling Straits has received magnificent reviews during the P.G.A. Championship, which is currently in a three-man playoff between Justin Leonard, Vijay Singh and Chris DiMarco.",Sport
"Malaysia Boosts Border Watch to Rein in Bird Flu (Reuters) Reuters - Malaysia is sending more troops to\its border with Thailand to check smuggling of chickens into\northern Kelantan state, under quarantine for a bird flu virus\that can kill humans, defense officials said on Thursday.",Politics
"Venezuela plane crash  #39;kills 25 #39; A Venezuelan air force plane has crashed, killing all 25 passengers and crew, aviation officials say. The aircraft came down in bad weather in a mountainous region in Carabobo state, west of the capital, Caracas, Reuters quoted an official as saying.",Politics
Yeading determined to ruffle Magpies #39; feathers A team managed by Johnson  #39;Drax #39; Hippolyte with a star striker known as DJ Campbell playing at a ground used in the movie Bend It Like Beckham -- welcome to Yeading FC.,Sport
Cannonball Run road rally thwarted (Reuters) Reuters - Spanish police have temporarily\seized luxury and sports cars driven by people they\suspected of participating in an illegal road rally named\after a 1981 film starring Burt Reynolds.,Politics
